gc,heap,load_level,throughput,power_watt,energy_efficiency,p95_latency_ms,sla_ms,sla_ok
G1GC,256m,10,9.964,4.41,2.259,142.673,300,true
G1GC,256m,10,9.996,4.41,2.267,146.388,500,true
G1GC,256m,30,27.651,5.839,4.736,242.983,300,true
G1GC,256m,30,30.937,5.839,5.299,289.805,500,true
G1GC,256m,50,38.938,7.434,5.238,364.31,300,false
G1GC,256m,50,41.499,7.434,5.582,404.106,500,true
G1GC,512m,10,9.844,4.858,2.026,137.387,300,true
G1GC,512m,10,8.82,4.858,1.815,153.418,500,true
G1GC,512m,30,29.38,6.558,4.48,209.916,300,true
G1GC,512m,30,25.953,6.558,3.957,256.359,500,true
G1GC,512m,50,48.494,8.559,5.666,352.353,300,false
G1GC,512m,50,52.872,8.559,6.178,378.316,500,true
G1GC,1g,10,10.131,5.572,1.818,116.12,300,true
G1GC,1g,10,11.593,5.572,2.08,116.4,500,true
G1GC,1g,30,35.726,7.341,4.866,216.991,300,true
G1GC,1g,30,31.34,7.341,4.269,246.692,500,true
G1GC,1g,50,50.026,8.723,5.735,308.956,300,false
G1GC,1g,50,45.673,8.723,5.236,379.279,500,true
SerialGC,256m,10,6.841,3.833,1.785,159.775,300,true
SerialGC,256m,10,6.85,3.833,1.787,157.165,500,true
SerialGC,256m,30,24.956,5.097,4.896,305.019,300,false
SerialGC,256m,30,25.897,5.097,5.081,269.197,500,true
SerialGC,256m,50,44.205,6.361,6.949,385.078,300,false
SerialGC,256m,50,39.384,6.361,6.192,482.313,500,true
SerialGC,512m,10,9.194,3.755,2.449,153.736,300,true
SerialGC,512m,10,9.717,3.755,2.588,146.045,500,true
SerialGC,512m,30,28.523,5.078,5.616,290.184,300,true
SerialGC,512m,30,22.493,5.078,4.429,286.547,500,true
SerialGC,512m,50,48.953,6.981,7.012,360.607,300,false
SerialGC,512m,50,43.895,6.981,6.287,456.554,500,true
SerialGC,1g,10,9.114,4.269,2.135,158.485,300,true
SerialGC,1g,10,9.722,4.269,2.278,158.812,500,true
SerialGC,1g,30,27.659,5.761,4.801,237.184,300,true
SerialGC,1g,30,25.269,5.761,4.386,281.577,500,true
SerialGC,1g,50,41.002,7.49,5.474,332.091,300,false
SerialGC,1g,50,41.596,7.49,5.553,362.717,500,true
ZGC,256m,10,10.055,5.355,1.878,134.039,300,true
ZGC,256m,10,8.828,5.355,1.648,143.601,500,true
ZGC,256m,30,28.274,6.805,4.155,224.483,300,true
ZGC,256m,30,27.861,6.805,4.094,260.04,500,true
ZGC,256m,50,50.31,8.801,5.716,354.848,300,false
ZGC,256m,50,52.166,8.801,5.927,373.615,500,true
ZGC,512m,10,12.35,6.097,2.026,139.062,300,true
ZGC,512m,10,12.119,6.097,1.988,143.912,500,true
ZGC,512m,30,32.77,8.096,4.048,243.646,300,true
ZGC,512m,30,32.588,8.096,4.025,229.205,500,true
ZGC,512m,50,57.789,9.554,6.049,365.423,300,false
ZGC,512m,50,51.77,9.554,5.419,344.342,500,true
ZGC,1g,10,10.379,6.753,1.537,129.178,300,true
ZGC,1g,10,12.91,6.753,1.912,104.632,500,true
ZGC,1g,30,37.894,8.76,4.326,215.226,300,true
ZGC,1g,30,32.387,8.76,3.697,242.135,500,true
ZGC,1g,50,62.501,10.739,5.82,301.538,300,false
ZGC,1g,50,60.683,10.739,5.651,330.214,500,true
G1GC,256m,10,9.677,0.0,13054656.628,96.53,300,true
G1GC,256m,10,9.622,0.0,13615124.238,186.882,500,true
G1GC,256m,30,27.246,0.0,18196143.667,251.148,300,true
G1GC,256m,30,27.065,0.0,25285011.15,293.969,500,true
G1GC,256m,50,39.991,0.0,32497798.889,556.888,300,false
G1GC,256m,50,39.015,0.0,32963748.196,695.712,500,false
G1GC,512m,10,9.646,0.0,14924275.026,99.703,300,true
G1GC,512m,10,9.667,0.0,11164389.077,90.066,500,true
G1GC,512m,30,27.389,0.0,28453938.329,277.981,300,true
G1GC,512m,30,27.616,0.0,36213211.487,201.457,500,true
G1GC,512m,50,38.655,0.0,23571770.419,697.699,300,false
G1GC,512m,50,39.392,0.0,38095223.725,599.448,500,false
G1GC,1g,10,9.716,0.0,12231447.097,72.103,300,true
G1GC,1g,10,9.765,0.0,13900509.369,95.942,500,true
G1GC,1g,30,28.19,0.0,25374889.819,182.002,300,true
G1GC,1g,30,28.016,0.0,31004016.994,199.539,500,true
G1GC,1g,50,42.913,0.0,38065182.607,399.202,300,false
G1GC,1g,50,42.484,0.0,38031521.275,497.186,500,true
SerialGC,256m,10,9.824,0.0,21952143.885,74.408,300,true
SerialGC,256m,10,9.788,0.0,20646585.137,83.23,500,true
SerialGC,256m,30,28.299,0.0,29102750.181,196.161,300,true
SerialGC,256m,30,29.065,0.0,38136303.484,84.078,500,true
SerialGC,256m,50,43.036,0.0,33779328.213,398.77,300,false
SerialGC,256m,50,43.941,0.0,22071925.707,372.017,500,true
SerialGC,512m,10,9.764,0.0,16048461.175,92.076,300,true
SerialGC,512m,10,9.726,0.0,15199384.457,88.203,500,true
SerialGC,512m,30,28.138,0.0,24206605.553,183.887,300,true
SerialGC,512m,30,28.34,0.0,35606548.146,195.322,500,true
SerialGC,512m,50,42.707,0.0,40339684.616,399.901,300,false
SerialGC,512m,50,42.343,0.0,36172419.172,496.599,500,true
SerialGC,1g,10,9.754,0.0,14841722.522,47.872,300,true
SerialGC,1g,10,9.728,0.0,14089860.967,86.559,500,true
SerialGC,1g,30,28.319,0.0,34872518.594,195.104,300,true
SerialGC,1g,30,28.401,0.0,31663166.143,189.188,500,true
SerialGC,1g,50,43.591,0.0,50330052.537,394.287,300,false
SerialGC,1g,50,42.604,0.0,44240602.033,440.547,500,true
ZGC,256m,10,9.749,0.0,20729579.269,101.528,300,true
ZGC,256m,10,9.768,0.0,15739946.622,89.729,500,true
ZGC,256m,30,28.154,0.0,39214830.82,276.834,300,true
ZGC,256m,30,27.457,0.0,27531299.492,295.609,500,true
ZGC,256m,50,41.814,0.0,47395209.799,603.719,300,false
ZGC,256m,50,42.807,0.0,28430951.4,495.256,500,true
ZGC,512m,10,9.82,0.0,19037765.359,63.063,300,true
ZGC,512m,10,9.754,0.0,28144345.967,83.206,500,true
ZGC,512m,30,28.321,0.0,23916923.566,195.622,300,true
ZGC,512m,30,28.488,0.0,26433386.768,187.036,500,true
ZGC,512m,50,45.42,0.0,36898056.628,300.632,300,false
ZGC,512m,50,42.916,0.0,32591998.799,429.061,500,true
ZGC,1g,10,9.781,0.0,11708252.605,67.439,300,true
ZGC,1g,10,9.725,0.0,20230575.713,96.582,500,true
ZGC,1g,30,28.384,0.0,29493578.734,158.332,300,true
ZGC,1g,30,28.363,0.0,24690117.924,148.843,500,true
ZGC,1g,50,44.266,0.0,14504450.317,384.143,300,false
ZGC,1g,50,44.489,0.0,35840991.553,302.354,500,true
